OBJECTID,unitID,descriptn,instCode,codeRef,unitOwner,cSteward,effDate,instName,Shape_Leng,Shape__Area,Shape__Length
1,DLCD,Comp Plan- See DLCD File,2072,GNIS,2072,DLCD,20240000,Adair Village,26072.3933642,15783220.1622314,26072.3933642342
2,DLCD,Comp Plan- See DLCD File,35869,GNIS,35869,DLCD,19800000,Adams,14456.5714326,10198754.2167969,14456.5714326241
3,DLCD,Comp Plan- See DLCD File,29483,GNIS,29483,DLCD,19800000,Adrian,10245.0694668,6803281.34851074,10245.0694668111
4,DLCD,Comp Plan- See DLCD File,28150,GNIS,28150,DLCD,19800000,Albany,205361.18238,605236572.936523,205361.182379956
5,DLCD,Comp Plan- See DLCD File,41474,GNIS,41474,DLCD,20110000,Amity,30926.9684681,18407236.4851074,30926.9684681179
6,DLCD,Comp Plan- See DLCD File,39259,GNIS,39259,DLCD,19800000,Antelope,14393.8636013,12809666.8657227,14393.8636012871
7,DLCD,Comp Plan- See DLCD File,11006,GNIS,11006,DLCD,20110000,Arlington,68731.1257473,95714624.3304443,68731.1257472937
8,DLCD,Comp Plan- See DLCD File,16893,GNIS,16893,DLCD,19800000,Ashland,103651.619557,206151404.739563,103651.619557397
9,DLCD,Comp Plan- See DLCD File,4072,GNIS,4072,DLCD,19800000,Astoria,101828.323695,316623567.076172,101828.323695311
10,DLCD,Comp Plan- See DLCD File,35870,GNIS,35870,DLCD,19890000,Athena,28288.4098093,17871720.2573242,28288.4098092933
11,DLCD,Comp Plan- See DLCD File,31920,GNIS,31920,DLCD,20070000,Aumsville,28130.8856673,36244713.5300903,28130.8856672884
12,DLCD,Comp Plan- See DLCD File,31921,GNIS,31921,DLCD,19800000,Aurora,27818.8208364,17840951.2303467,27818.8208364185
13,DLCD,Comp Plan- See DLCD File,517,GNIS,517,DLCD,19940000,Baker City,77371.4213955,214049342.254395,77371.4213955454
14,DLCD,Comp Plan- See DLCD File,5227,GNIS,5227,DLCD,19930000,Bandon,79286.2479286,122122377.781616,79286.247928587
15,DLCD,Comp Plan- See DLCD File,40071,GNIS,40071,DLCD,20130000,Banks,28072.182713,30751937.6119995,28072.1827130429
16,DLCD,Comp Plan- See DLCD File,2856,GNIS,2856,DLCD,19800000,Barlow,7955.41965164,1435798.0435791,7955.41965163889
17,DLCD,Comp Plan- See DLCD File,34999,GNIS,34999,DLCD,20140000,Bay City,40861.9820811,58283910.723938,40861.9820811145
18,DLCD,Comp Plan- See DLCD File,8088,GNIS,8088,DLCD,20240000,Bend,223479.357771,1046971085.56403,223479.35777147
19,DLCD,Comp Plan- See DLCD File,32715,GNIS,32715,DLCD,19880000,Boardman,72841.6679543,152642345.739014,72841.6679542515
20,DLCD,Comp Plan- See DLCD File,20918,GNIS,20918,DLCD,19800000,Bonanza,24251.4399403,16242307.2733917,24251.4399403478
21,DLCD,Comp Plan- See DLCD File,7062,GNIS,7062,DLCD,19960000,Brookings,244920.048936,337422598.749493,244920.048936256
22,DLCD,Comp Plan- See DLCD File,28155,GNIS,28155,DLCD,19890000,Brownsville,38906.1186049,40377602.1836548,38906.1186049307
23,DLCD,Comp Plan- See DLCD File,14277,GNIS,14277,DLCD,19990000,Burns,53224.1976445,111637110.320679,53224.1976445476
24,DLCD,Comp Plan- See DLCD File,16902,GNIS,16902,DLCD,19800000,Butte Falls,15987.6553995,11303869.1187134,15987.6553995141
25,DLCD,Comp Plan- See DLCD File,2869,GNIS,2869,DLCD,20030000,Canby,70710.2180399,151426760.080505,70710.2180399168
26,DLCD,Comp Plan- See DLCD File,4080,GNIS,4080,DLCD,20170000,Cannon Beach,59664.5364543,47825162.0527344,59664.5364543237
27,DLCD,Comp Plan- See DLCD File,11813,GNIS,11813,DLCD,19800000,Canyon City,32448.3787663,50953989.484375,32448.3787662547
28,DLCD,Comp Plan- See DLCD File,9189,GNIS,9189,DLCD,20150000,Canyonville,65235.0438116,46050781.1757202,65235.0438116091
29,DLCD,Comp Plan- See DLCD File,41477,GNIS,41477,DLCD,19800000,Carlton,25334.448679,24584961.7355347,25334.4486789943
30,DLCD,Comp Plan- See DLCD File,16074,GNIS,16074,DLCD,19800000,Cascade Locks,55383.4318448,89769425.1358643,55383.4318447687
31,DLCD,Comp Plan- See DLCD File,19143,GNIS,19143,DLCD,19800000,Cave Junction,46226.8491708,73739702.8980713,46226.8491708413
32,DLCD,Comp Plan- See DLCD File,2875,GNIS,2875,DLCD,20220000,Central Point,108073.73382,149210708.077209,108073.733819537
33,DLCD,Comp Plan- See DLCD File,20923,GNIS,20923,DLCD,19800000,Chiloquin,31152.9684948,27492244.6567383,31152.9684948282
34,DLCD,Comp Plan- See DLCD File,4616,GNIS,4616,DLCD,19800000,Clatskanie,58008.7761852,62181389.9419556,58008.7761851894
35,DLCD,Comp Plan- See DLCD File,24833,GNIS,24833,DLCD,20180000,Coburg,42677.172778,32921069.9872437,42677.1727779816
36,DLCD,Comp Plan- See DLCD File,4618,GNIS,4618,DLCD,20030000,Columbia City,30586.1216999,33920561.9227295,30586.1216998826
37,DLCD,Comp Plan- See DLCD File,11010,GNIS,11010,DLCD,19800000,Condon,21310.6479848,23034124.9057617,21310.647984752
38,DLCD,Comp Plan- See DLCD File,5236,GNIS,5236,DLCD,19980000,Coos Bay,179176.654127,442632848.78273,179176.654127353
39,DLCD,Comp Plan- See DLCD File,5240,GNIS,5240,DLCD,20060000,Coquille,87572.9207839,99847992.4881744,87572.9207838529
40,DLCD,Comp Plan- See DLCD File,2086,GNIS,2086,DLCD,19800000,Corvallis,202933.834626,784402080.064026,202933.834626453
41,DLCD,Comp Plan- See DLCD File,24835,GNIS,24835,DLCD,20100000,Cottage Grove,78580.5750277,132744609.297974,78580.5750277316
