GenusSpecies,NestLoc,Excavate,Sociality,Lecty,MeanITD,SDITD,ITDCV,Specimen1,Specimen2,Specimen3,Specimen4,Specimen5,Neal,InKremen,PredForDist_Typical,CILow_Typical,CIHigh_Typical,PredForDist_Feeder,CILow_Feeder,CIHigh_Feeder,PredForDist_HomingMax,CILow_HomingMax,CIHigh_HomingMax,abun.net,abun.pan,num.occ.net,num.occ.pan,d,GenusSpecies
Agapostemon texanus,below,ex,solitary,polylectic,1.980487805,0.101153372,0.051074979,1.902439024,2.146341463,1.902439024,2,1.951219512,yes,yes,0.506179152,0.197043035,1.300311549,0.929074857,0.43677468,1.860136118,0.69484612,0.289509939,1.606786413,33,430,25,148,0.151829751,Agapostemon texanus
Andrena angustitarsata,below,ex,solitary,polylectic,1.804878049,0.124366329,0.068905669,1.804878049,1.951219512,1.609756098,1.804878049,1.853658537,yes,yes,0.444148627,0.181599871,1.086278321,0.846338321,0.416848107,1.718344262,0.606654106,0.265381859,1.342848348,5,0,5,0,0.676219444,Andrena angustitarsata
Andrena anisochlora,below,ex,solitary,polylectic,1.93442623,NA,NA,1.93442623,NA,NA,NA,NA,yes,no,0.489682598,0.193009011,1.24237229,0.907370135,0.431636023,1.907441726,0.671349517,0.283194762,1.535348156,0,0,0,0,NA,Andrena anisochlora
Andrena astragali,below,ex,solitary,polylectic,2.556,0.13885244,0.054324116,2.32,2.6,2.62,2.56,2.68,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,2,NA,Andrena astragali
Andrena atypica,below,ex,solitary,oligolectic,1.377049181,0.046367658,0.033671752,1.409836066,1.344262295,NA,NA,NA,yes,no,0.303453807,0.143163734,0.643209078,0.644932306,0.363819819,1.184495282,0.408486608,0.205944805,0.796064598,0,0,0,0,NA,Andrena atypica
Andrena auricoma,below,ex,solitary,polylectic,1.619512195,0.053436347,0.032995335,1.609756098,1.707317073,1.609756098,1.609756098,1.56097561,yes,yes,0.381297126,0.165099603,0.880604772,0.759044941,0.394737982,1.446351175,0.517775926,0.23975233,1.089108848,10,2,7,2,0.437427469,Andrena auricoma
Andrena caerulea,below,ex,solitary,oligolectic,1.668292683,0.072353156,0.043369582,1.756097561,1.658536585,1.56097561,1.658536585,1.707317073,yes,yes,0.397566373,0.169462947,0.93270549,0.782012701,0.400673363,1.648877383,0.540731934,0.246513999,1.153396987,0,2,0,2,NA,Andrena caerulea
Andrena candida,below,ex,solitary,polylectic,1.648780488,0.139686059,0.084720835,1.56097561,1.463414634,1.756097561,1.804878049,1.658536585,yes,yes,0.391035052,0.167719487,0.911691387,0.772825227,0.398309701,1.380847906,0.531511798,0.243810842,1.127468252,35,1,23,1,0.545697342,Andrena candida
Andrena cerasifolii,below,ex,solitary,polylectic,2.563739771,0.22367017,0.087243711,2.585365854,2.682926829,2.829268293,2.487804878,2.233333,yes,yes,0.728017142,0.247229272,2.143795326,1.204091601,0.497318816,2.952423404,1.013358117,0.368744961,2.646105762,20,2,12,2,0.296069553,Andrena cerasifolii
Andrena cercocarpi,below,ex,solitary,polylectic,1.658536585,0.048780488,0.029411765,1.609756098,1.658536585,1.707317073,NA,NA,yes,no,0.394296794,0.168591528,0.922169484,0.777418903,0.39949326,1.446351175,0.536115604,0.24516267,1.140397059,0,1,0,1,NA,Andrena cercocarpi
Andrena chalybioides,below,ex,solitary,oligolectic,1.746341464,0.093831142,0.053730123,1.756097561,1.804878049,1.853658537,1.707317073,1.609756098,yes,no,0.424001941,0.176412448,1.019075739,0.8187674,0.409993314,1.648877383,0.578108779,0.257307024,1.259953464,0,0,0,0,NA,Andrena chalybioides
Andrena chlorogaster,below,ex,solitary,polylectic,1.23902439,0.073979273,0.059707681,1.12195122,1.268292683,1.317073171,1.219512195,1.268292683,yes,yes,0.261522461,0.13047073,0.524209511,0.580012111,0.34499908,0.839717079,0.350045124,0.186535507,0.649083025,11,3,10,2,0.297999141,Andrena chlorogaster
Andrena chlorura,below,ex,solitary,polylectic,1.84,NA,NA,1.84,NA,NA,NA,NA,no,yes,0.456365791,0.184702524,1.127595501,0.862882823,0.420908015,1.768953644,0.623988583,0.270218838,1.393807641,0,1,0,1,NA,Andrena chlorura
Andrena cressonii infasciata,below,ex,solitary,polylectic,2.146341463,0.12906104,0.060130712,1.951219512,2.195121951,2.292682927,2.097560976,2.195121951,yes,yes,0.56686594,0.211476458,1.519492985,1.007245482,0.454802158,1.932436534,0.781529965,0.312174187,1.876971791,10,1,7,1,0.567112504,Andrena cressonii infasciata
Andrena cuneilabris,below,ex,solitary,oligolectic,1.783606557,0.459952208,0.257877616,1.803278689,2.06557377,0.983606557,2,2.06557377,yes,no,0.436796247,0.179717213,1.061617628,0.836318905,0.414370123,1.716051418,0.596230845,0.262449492,1.312430574,0,0,0,0,NA,Andrena cuneilabris
Andrena hypoleuca,below,ex,solitary,NA,1.757554808,0.04620174,0.02628751,1.704918033,1.8072289,1.7831325,1.7349398,NA,yes,no,0.427840242,0.177407766,1.031788384,0.824048602,0.41131517,1.577036973,0.583543243,0.258855149,1.275635522,0,0,0,0,NA,Andrena hypoleuca
